,county,median_family,median_household,n_households,per_capita,population,state
0,New York County,"$84,627","$69,659","736,192","$62,498","1,605,272",New York
1,Arlington,"$139,244","$103,208","94,454","$62,018","214,861",Virginia
2,Falls Church City,"$152,857","$120,000","5,020","$59,088","12,731",Virginia
3,Marin,"$117,357","$90,839","102,912","$56,791","254,643",California
4,Alexandria City,"$107,511","$85,706","65,369","$54,608","143,684",Virginia
5,Pitkin,"$93,981","$72,745","7,507","$51,814","17,173",Colorado
6,Los Alamos,"$124,979","$106,686","7,590","$51,044","17,979",New Mexico
7,Fairfax County,"$128,596","$110,292","389,908","$50,532","1,101,071",Virginia
8,Hunterdon,"$125,828","$106,143","46,816","$50,349","127,047",New Jersey
9,Borden,"$76,250","$71,607",225,"$50,042",649,Texas
10,Montgomery,"$117,408","$98,221","360,563","$49,038","989,474",Maryland
11,Morris,"$117,683","$98,633","179,665","$48,814","495,261",New Jersey
12,Fairfield,"$104,250","$82,283","332,655","$48,721","926,233",Connecticut
13,San Francisco,"$90,116","$75,604","345,344","$48,486","817,501",California
14,Howard,"$128,657","$109,865","106,142","$48,172","293,821",Maryland
15,Westchester,"$105,341","$81,946","343,561","$47,984","956,283",New York
16,Somerset,"$117,393","$99,020","115,531","$47,803","326,207",New Jersey
17,Nantucket,"$92,500","$85,478","4,069","$47,331","10,224",Massachusetts
18,Loudoun,"$133,550","$122,238","106,997","$46,565","326,477",Virginia
19,North Slope,"$82,500","$80,761","1,990","$46,457","9,484",Alaska
20,San Mateo,"$105,844","$88,202","257,941","$45,732","729,543",California
21,Kalawao,"$88,750","$59,375",46,"$45,515",71,Hawaii
22,Washington City,"$79,665","$65,830","263,649","$45,290","619,371",District of Columbia
23,Goochland,"$92,042","$80,976","8,058","$45,039","21,565",Virginia
24,Norfolk,"$108,943","$84,916","257,451","$44,692","677,296",Massachusetts
25,Fairfax City,"$113,538","$97,242","8,492","$44,345","23,027",Virginia
26,Douglas,"$112,930","$101,591","103,780","$43,634","293,014",Colorado
27,Teton,"$83,558","$68,078","7,583","$43,444","21,575",Wyoming
28,Bergen,"$102,222","$83,794","335,422","$43,347","912,795",New Jersey
29,Middlesex,"$104,032","$82,090","581,120","$42,861","1,522,533",Massachusetts
30,Monmouth,"$105,971","$84,526","233,909","$42,749","629,735",New Jersey
31,Summit,"$95,879","$83,336","13,627","$42,462","37,232",Utah
32,Nassau,"$112,874","$97,690","441,955","$42,400","1,343,765",New York
33,Mineral,"$68,438","$47,083",393,"$42,255",761,Colorado
34,Chester,"$105,278","$86,050","184,788","$42,210","503,075",Pennsylvania
35,Ozaukee,"$92,262","$75,457","34,108","$42,041","86,708",Wisconsin
36,Clear Creek,"$89,583","$67,259","4,024","$41,716","9,048",Colorado
37,Santa Clara,"$103,983","$91,702","609,377","$41,513","1,812,208",California
38,Montgomery,"$99,587","$79,183","307,488","$41,472","804,621",Pennsylvania
39,Williamson,"$104,796","$89,779","66,364","$41,292","188,935",Tennessee
40,San Miguel,"$77,708","$63,594","3,234","$40,827","7,496",Colorado
41,Anne Arundel,"$101,268","$87,430","199,904","$40,415","544,426",Maryland
42,Putnam,"$109,188","$95,117","34,496","$40,309","99,718",New York
43,Newport,"$88,962","$71,713","34,774","$40,293","82,545",Rhode Island
44,Delaware County,"$103,564","$89,757","64,208","$40,189","178,139",Ohio
45,Middlesex,"$98,501","$76,994","66,141","$39,992","165,690",Connecticut
46,King,"$92,510","$71,811","802,606","$39,911","1,974,567",Washington
47,Fauquier,"$103,556","$88,409","23,130","$39,600","66,015",Virginia
48,Hamilton,"$99,768","$82,468","103,234","$39,521","282,977",Indiana
49,Eagle,"$86,167","$74,456","17,966","$39,497","52,151",Colorado
50,James City County,"$90,406","$76,960","26,883","$39,133","68,171",Virginia
51,Bristol,"$93,131","$71,238","19,174","$38,893","49,426",Rhode Island
52,Johnson,"$92,512","$74,717","216,304","$38,827","552,947",Kansas
53,Clarke,"$95,654","$77,597","5,580","$38,748","14,191",Virginia
54,Williams,"$86,285","$76,210","10,411","$38,738","25,024",North Dakota
55,DuPage,"$95,208","$78,487","336,028","$38,570","922,803",Illinois
56,Poquoson City,"$98,848","$81,892","4,591","$38,444","12,117",Virginia
57,Rockingham,"$93,420","$77,348","116,262","$38,399","296,718",New Hampshire
58,Calvert,"$107,684","$95,477","30,923","$38,260","89,332",Maryland
59,Contra Costa,"$94,208","$78,756","375,855","$38,219","1,065,794",California
60,Queen Anne's,"$97,909","$87,256","17,292","$38,108","48,166",Maryland
61,Gilpin,"$87,639","$63,885","2,504","$38,022","5,477",Colorado
62,Talbot,"$74,811","$61,597","16,013","$38,022","37,859",Maryland
63,Lake,"$92,116","$77,469","241,072","$38,018","702,099",Illinois
64,Boulder,"$92,667","$67,956","120,521","$38,011","301,072",Colorado
65,Billings,"$69,167","$57,083",350,"$37,972",876,North Dakota
66,Sussex,"$100,066","$87,335","54,746","$37,949","147,924",New Jersey
67,,"$87,245","$69,461","1,355,849","$37,892","3,583,561",
68,Collin,"$97,421","$82,762","289,752","$37,839","811,308",Texas
69,San Juan,"$65,067","$53,376","7,753","$37,719","15,786",Washington
70,Litchfield,"$87,945","$71,338","75,755","$37,667","188,629",Connecticut
71,Waukesha,"$92,974","$75,850","153,422","$37,577","391,200",Wisconsin
72,Juneau,"$95,112","$81,490","12,099","$37,558","31,897",Alaska
73,Hennepin,"$84,559","$64,403","481,263","$37,485","1,170,623",Minnesota
74,Boone,"$80,907","$67,255","21,908","$37,482","58,009",Indiana
75,Bucks,"$92,907","$76,555","230,366","$37,466","625,977",Pennsylvania
76,Mercer,"$94,267","$73,480","130,754","$37,465","368,094",New Jersey
77,Carver,"$96,913","$83,773","33,486","$37,457","92,770",Minnesota
78,Broomfield,"$96,787","$77,998","22,016","$37,442","57,171",Colorado
79,Prince William,"$106,544","$98,071","132,442","$37,401","416,668",Virginia
80,Charles,"$104,078","$93,160","51,247","$37,277","148,957",Maryland
81,Albemarle,"$89,889","$67,725","37,964","$37,239","100,636",Virginia
82,Skagway,"$77,500","$71,667",412,"$37,139","1,080",Alaska
83,Bristol Bay,"$96,458","$79,531",384,"$37,024",933,Alaska
84,Washington County,"$91,532","$72,138","49,430","$37,023","126,627",Rhode Island
85,Suffolk,"$100,652","$87,763","497,347","$36,945","1,495,803",New York
86,Frederick,"$98,259","$84,570","86,337","$36,917","236,668",Maryland
87,St. Johns,"$80,707","$64,876","75,558","$36,836","197,115",Florida
88,Burlington,"$94,324","$78,446","164,979","$36,835","449,964",New Jersey
89,Fulton,"$75,658","$56,857","368,184","$36,757","948,554",Georgia
90,Washington County,"$94,263","$81,540","88,947","$36,706","241,315",Minnesota
91,Stafford,"$106,322","$97,110","42,178","$36,574","131,885",Virginia
92,Rappahannock,"$66,773","$56,438","3,261","$36,505","7,448",Virginia
93,Oakland,"$84,182","$65,594","486,332","$36,458","1,213,406",Michigan
94,Collier,"$65,980","$55,843","122,972","$36,439","328,209",Florida
95,York,"$95,392","$82,073","24,071","$36,373","65,762",Virginia
96,Hinsdale,"$76,000","$56,667",388,"$36,365",809,Colorado
97,,"$88,738","$73,538","2,146,240","$36,354","5,834,299",
98,Divide,"$69,632","$55,057","1,035","$36,303","2,155",North Dakota
99,Anchorage,"$90,466","$77,454","105,208","$36,214","295,237",Alaska
100,Roberts,"$83,333","$67,321",374,"$36,172","1,030",Texas
101,Union,"$74,758","$63,468","5,758","$36,167","14,575",South Dakota
102,Carroll,"$100,643","$84,790","59,909","$36,153","167,261",Maryland
103,Barnstable,"$76,311","$60,526","95,398","$36,142","215,449",Massachusetts
104,Jefferson,"$84,957","$68,984","219,562","$36,087","540,669",Colorado
105,Elbert,"$89,653","$82,118","8,240","$36,077","23,295",Colorado
106,,"$87,347","$71,629","3,186,418","$36,027","8,832,406",
107,St. Mary's,"$95,186","$85,672","37,589","$36,017","107,079",Maryland
108,Sublette,"$85,885","$77,900","3,502","$35,944","10,178",Wyoming
109,Dallas,"$90,092","$73,847","26,262","$35,844","69,526",Iowa
110,Kendall,"$86,750","$73,410","12,760","$35,827","34,951",Texas
111,,"$84,900","$66,866","2,530,147","$35,763","6,605,058",
112,Alameda,"$88,618","$72,112","545,071","$35,763","1,535,248",California
113,Blaine,"$76,575","$64,042","9,207","$35,524","21,294",Idaho
114,Scott,"$97,693","$86,112","45,630","$35,467","132,774",Minnesota
115,Harford,"$92,642","$80,622","90,708","$35,425","246,664",Maryland
116,Fayette,"$91,574","$79,977","37,930","$35,344","107,105",Georgia
117,Denali,"$99,091","$72,500",716,"$35,295","2,020",Alaska
118,Plymouth,"$90,431","$75,092","179,617","$35,220","497,386",Massachusetts
119,Saratoga,"$87,058","$69,826","88,460","$35,176","221,169",New York
120,Essex,"$84,185","$67,311","286,008","$35,167","750,808",Massachusetts
121,Platte,"$83,110","$67,721","36,781","$35,143","90,842",Missouri
122,Union,"$83,164","$68,507","185,483","$35,089","540,568",New Jersey
123,Placer,"$87,352","$72,725","132,709","$34,886","355,924",California
124,El Dorado,"$85,253","$69,297","67,885","$34,884","180,982",California
125,Routt,"$74,559","$62,002","9,647","$34,873","23,409",Colorado
126,Lincoln,"$85,666","$74,751","17,250","$34,839","46,693",South Dakota
127,Dakota,"$88,889","$73,732","154,275","$34,828","402,306",Minnesota
128,Napa,"$79,700","$70,443","49,431","$34,795","137,837",California
129,St. Louis County,"$75,532","$58,910","403,293","$34,795","999,725",Missouri
130,Hartford,"$81,805","$64,967","347,874","$34,698","895,827",Connecticut
131,Rockwall,"$92,837","$86,119","26,820","$34,617","81,020",Texas
132,Rockland,"$99,649","$84,951","98,326","$34,591","315,069",New York
133,Forsyth,"$99,573","$86,569","58,080","$34,582","182,916",Georgia
134,Orange,"$84,770","$55,569","51,403","$34,465","136,057",North Carolina
135,Geauga,"$81,952","$67,663","34,621","$34,455","93,610",Ohio
136,Tolland,"$95,996","$80,529","54,327","$34,392","152,366",Connecticut
137,Hillsborough,"$84,430","$69,829","154,324","$34,390","402,017",New Hampshire
138,Baltimore County,"$81,116","$66,486","313,912","$34,374","812,261",Maryland
139,Middlesex,"$93,519","$79,596","280,988","$34,345","817,026",New Jersey
140,Yakutat,"$80,875","$72,500",254,"$34,317",607,Alaska
141,King George,"$90,752","$81,753","8,314","$34,234","24,151",Virginia
142,Petersburg Census Area,"$84,861","$63,934","1,643","$34,183","3,806",Alaska
143,Douglas,"$67,597","$60,100","19,455","$34,123","47,035",Nevada
144,Fort Bend,"$94,931","$85,297","191,406","$34,084","608,939",Texas
145,Olmsted,"$83,250","$66,252","57,262","$34,073","146,063",Minnesota
146,Loving,"$88,438","$68,750",33,"$34,068",87,Texas
147,Orange,"$84,765","$75,422","995,512","$34,057","3,051,771",California
148,Martin,"$68,003","$49,846","59,891","$34,057","147,786",Florida
149,Summit,"$79,420","$63,697","11,138","$34,025","28,091",Colorado
150,Monroe,"$63,550","$53,607","28,503","$33,974","74,213",Florida
151,Denton,"$90,086","$74,155","243,394","$33,855","687,857",Texas
152,Campbell,"$84,746","$79,488","17,108","$33,850","46,901",Wyoming
153,Kent,"$80,038","$62,279","68,880","$33,814","165,628",Rhode Island
154,Mountrail,"$76,282","$68,722","3,069","$33,803","8,280",North Dakota
155,Oconee,"$82,625","$75,004","11,485","$33,801","33,240",Georgia
156,Dunn,"$76,346","$60,500","1,438","$33,788","3,786",North Dakota
157,New London,"$82,076","$66,583","107,066","$33,782","274,090",Connecticut
158,Dane,"$83,509","$61,721","206,982","$33,712","496,762",Wisconsin
159,Midland,"$72,635","$62,993","50,644","$33,672","142,289",Texas
160,Llano,"$60,285","$44,094","8,519","$33,634","19,223",Texas
161,Columbia,"$72,649","$57,336","25,280","$33,613","62,674",New York
162,Dutchess,"$88,777","$72,525","107,830","$33,594","297,385",New York
163,Oldham,"$91,587","$83,391","19,532","$33,591","60,940",Kentucky
164,Warren,"$85,091","$70,912","41,463","$33,555","108,150",New Jersey
165,Hanover,"$88,604","$75,070","36,927","$33,540","100,328",Virginia
166,,"$76,754","$63,907","3,022,739","$33,493","8,100,653",
167,Storey,"$64,173","$61,573","1,843","$33,472","3,981",Nevada
168,Dukes,"$82,452","$66,288","5,891","$33,363","16,739",Massachusetts
169,Towner,"$67,969","$55,521","1,034","$33,357","2,285",North Dakota
170,Shelby,"$82,558","$68,770","74,144","$33,313","198,366",Alabama
171,Chittenden,"$83,887","$63,989","62,587","$33,281","157,637",Vermont
172,Denver,"$63,705","$50,313","266,069","$33,251","619,297",Colorado
173,Washtenaw,"$85,115","$59,055","135,800","$33,231","348,560",Michigan
174,Travis,"$73,951","$58,025","411,876","$33,206","1,063,248",Texas
175,Delaware County,"$81,523","$64,041","204,771","$33,179","559,771",Pennsylvania
176,Warren,"$85,636","$72,487","76,546","$33,172","215,274",Ohio
177,Madison,"$73,775","$59,904","36,342","$33,170","97,151",Mississippi
178,Wake,"$83,568","$66,006","348,627","$33,166","929,214",North Carolina
179,Grand Isle,"$69,722","$59,509","3,023","$33,159","6,984",Vermont
180,,"$79,886","$64,916","518,245","$33,134","1,319,171",
181,Henrico,"$75,640","$61,048","123,683","$33,115","311,314",Virginia
182,McKenzie,"$77,366","$64,866","2,666","$33,078","7,377",North Dakota
183,Cobb,"$78,058","$63,920","261,242","$33,069","699,235",Georgia
184,Foster,"$68,547","$50,677","1,555","$33,063","3,355",North Dakota
185,Madison,"$61,672","$47,762","3,542","$33,062","7,702",Montana
186,Ouray,"$72,229","$64,601","1,943","$33,015","4,475",Colorado
187,Comal,"$77,324","$65,839","41,954","$32,980","112,083",Texas
188,Cape May,"$74,112","$56,494","42,312","$32,948","96,684",New Jersey
189,Ventura,"$86,301","$76,544","267,076","$32,930","829,017",California
190,Montgomery,"$79,541","$67,766","163,462","$32,911","472,162",Texas
191,Burke,"$70,096","$53,693","1,007","$32,908","2,094",North Dakota
192,Worcester,"$68,840","$57,952","20,530","$32,887","51,479",Maryland
193,Cumberland,"$75,432","$57,461","117,359","$32,880","283,046",Maine
194,Burleigh,"$82,235","$61,811","34,703","$32,876","83,906",North Dakota
195,Cook,"$59,643","$52,215","2,614","$32,868","5,195",Minnesota
196,Palm Beach,"$64,260","$52,432","526,007","$32,858","1,339,221",Florida
197,Sonoma,"$75,896","$63,356","185,660","$32,835","487,469",California
198,Suffolk,"$61,449","$53,540","288,240","$32,835","735,701",Massachusetts
199,Clackamas,"$76,549","$64,352","146,527","$32,781","380,532",Oregon
200,,"$82,870","$70,760","251,899","$32,651","720,316",
201,Greeley,"$58,875","$52,847",493,"$32,650","1,202",Kansas
202,Hudson,"$62,168","$58,442","243,875","$32,641","644,605",New Jersey
203,Gloucester,"$87,913","$74,524","104,145","$32,600","289,098",New Jersey
204,Arapahoe,"$73,649","$60,651","225,552","$32,595","585,333",Colorado
205,Valdez-Cordova Census Area,"$88,480","$74,878","3,424","$32,579","9,682",Alaska
206,Chesterfield,"$83,877","$72,088","113,637","$32,572","320,430",Virginia
207,New Haven,"$79,408","$61,996","328,013","$32,523","862,611",Connecticut
208,Sitka,"$78,000","$69,405","3,554","$32,521","8,945",Alaska
209,Beaufort,"$66,878","$57,316","64,417","$32,503","165,354",South Carolina
210,Botetourt,"$74,798","$65,935","12,825","$32,490","33,076",Virginia
211,Mecklenburg,"$68,083","$55,444","366,689","$32,482","947,135",North Carolina
212,New Castle,"$79,954","$64,537","200,739","$32,406","542,784",Delaware
213,,"$70,670","$58,003","7,234,743","$32,382","19,487,053",
214,Nevada County,"$70,148","$57,353","40,991","$32,346","98,509",California
215,Prince George's,"$84,808","$73,623","303,441","$32,344","873,481",Maryland
216,McHenry,"$87,760","$76,145","108,852","$32,341","308,060",Illinois
217,Albany,"$81,846","$59,394","122,700","$32,328","305,279",New York
218,Sarasota,"$61,339","$49,052","170,555","$32,313","383,094",Florida
219,Santa Fe,"$64,737","$52,917","61,012","$32,298","145,400",New Mexico
220,Santa Cruz,"$80,899","$66,519","93,504","$32,295","264,808",California
221,Oliver,"$81,500","$71,250",753,"$32,253","1,840",North Dakota
222,St. Croix,"$80,740","$68,426","32,114","$32,220","84,912",Wisconsin
223,Essex,"$69,448","$55,095","277,302","$32,181","785,853",New Jersey
224,Fairbanks North Star,"$82,930","$69,223","35,588","$32,143","98,656",Alaska
225,Livingston,"$82,959","$72,359","67,691","$32,129","182,402",Michigan
226,New Kent,"$78,995","$70,618","6,886","$32,068","18,791",Virginia
227,Bowman,"$76,750","$56,964","1,354","$32,045","3,168",North Dakota
228,Richland,"$72,115","$58,112","4,270","$32,036","10,318",Montana
229,Cavalier,"$72,946","$55,904","1,754","$32,028","3,952",North Dakota
230,Washington County,"$79,911","$66,159","52,053","$32,020","132,186",Wisconsin
231,LaMoure,"$65,958","$53,691","1,955","$31,989","4,136",North Dakota
232,Bottineau,"$71,217","$51,667","3,028","$31,969","6,529",North Dakota
233,Virginia Beach City,"$76,285","$65,219","164,944","$31,934","442,151",Virginia
234,Madison,"$75,766","$58,434","132,975","$31,933","339,279",Alabama
235,Richmond,"$86,133","$72,569","164,609","$31,823","470,223",New York
236,Cumberland,"$77,057","$60,826","95,286","$31,791","237,449",Pennsylvania
237,Aleutians West Census Area,"$87,159","$81,853","1,033","$31,790","5,538",Alaska
238,Dickinson,"$64,798","$56,136","7,981","$31,790","16,818",Iowa
239,Kitsap,"$74,993","$62,413","97,622","$31,769","252,687",Washington
240,Mercer,"$80,827","$66,534","3,650","$31,767","8,456",North Dakota
241,Monroe,"$81,766","$68,482","12,506","$31,758","33,181",Illinois
242,Roanoke County,"$75,860","$60,795","37,928","$31,728","92,824",Virginia
243,Barnes,"$67,150","$50,274","4,871","$31,721","11,085",North Dakota
244,Lane,"$64,886","$53,021",808,"$31,694","1,616",Kansas
245,Grand,"$74,418","$64,664","5,227","$31,684","14,535",Colorado
246,Allegheny,"$70,380","$51,366","526,004","$31,593","1,226,933",Pennsylvania
247,Ketchikan Gateway,"$85,638","$62,519","5,295","$31,589","13,595",Alaska
248,St. Charles,"$83,907","$71,077","135,974","$31,586","365,101",Missouri
249,Terrell,"$68,750","$39,479",403,"$31,578",837,Texas
250,Carroll,"$58,867","$50,866","20,922","$31,558","47,694",New Hampshire
251,Worcester,"$81,519","$65,223","299,663","$31,537","802,688",Massachusetts
252,Sioux,"$56,813","$42,014",553,"$31,517","1,229",Nebraska
253,Park,"$76,104","$61,570","7,038","$31,504","16,131",Colorado
254,Kent,"$72,360","$56,259","7,498","$31,502","20,130",Maryland
255,Adams,"$65,859","$47,798","1,101","$31,502","2,328",North Dakota
256,Harris,"$82,259","$69,223","11,426","$31,482","32,267",Georgia
257,Leelanau,"$66,570","$55,018","9,103","$31,462","21,682",Michigan
258,Steele,"$67,159","$55,735",890,"$31,455","1,976",North Dakota
259,Daniels,"$60,000","$46,100",890,"$31,449","1,778",Montana
260,Stark,"$75,333","$62,559","10,439","$31,412","25,666",North Dakota
261,Sheridan,"$68,769","$48,667","1,612","$31,378","3,473",Montana
262,Spotsylvania,"$87,374","$78,345","41,709","$31,360","124,319",Virginia
263,Snohomish,"$80,856","$68,381","268,722","$31,349","724,627",Washington
264,Mathews,"$71,441","$55,192","3,856","$31,342","8,943",Virginia
265,Merrimack,"$80,655","$65,353","56,812","$31,310","146,710",New Hampshire
266,Miner,"$60,083","$48,477","1,053","$31,288","2,355",South Dakota
267,Kendall,"$91,368","$81,765","38,075","$31,276","116,366",Illinois
268,Kenai Peninsula,"$75,689","$61,793","21,720","$31,256","56,163",Alaska
269,Powhatan,"$87,045","$76,548","9,544","$31,252","28,108",Virginia
270,Piatt,"$73,890","$63,027","6,546","$31,190","16,620",Illinois
271,Renville,"$77,143","$60,847","1,041","$31,178","2,512",North Dakota
272,Chatham,"$66,875","$57,091","26,017","$31,175","64,886",North Carolina
273,Grundy,"$70,837","$56,827","5,073","$31,164","12,416",Iowa
274,Glasscock,"$98,409","$69,107",409,"$31,135","1,176",Texas
275,,"$72,687","$58,433","1,977,591","$31,109","5,119,329",
276,Haines,"$68,207","$52,866","1,245","$31,096","2,546",Alaska
277,Washington County,"$76,711","$64,180","201,771","$31,078","539,608",Oregon
278,Teller,"$73,379","$59,040","9,434","$31,075","23,276",Colorado
279,Williamson,"$82,568","$71,803","154,948","$31,070","441,445",Texas
280,McLean,"$67,636","$53,565","4,021","$30,992","9,163",North Dakota
281,Butler,"$74,043","$58,230","73,213","$30,957","184,535",Pennsylvania
282,Columbia,"$77,373","$69,306","43,975","$30,949","128,213",Georgia
283,Converse,"$75,231","$63,918","5,746","$30,941","13,937",Wyoming
284,Island,"$69,775","$58,455","33,096","$30,941","78,806",Washington
285,Stanley,"$61,083","$54,620","1,273","$30,933","2,966",South Dakota
286,Windsor,"$70,467","$52,460","25,024","$30,932","56,416",Vermont
287,Woodford,"$78,590","$66,639","14,362","$30,926","38,903",Illinois
288,Galveston,"$76,204","$61,877","110,032","$30,926","296,669",Texas
289,Audubon,"$61,845","$48,313","2,684","$30,919","6,002",Iowa
290,,"$74,683","$59,836","2,107,232","$30,913","5,347,740",
291,Isle of Wight,"$77,524","$63,942","13,560","$30,903","35,373",Virginia
292,Fluvanna,"$79,101","$68,288","9,462","$30,881","25,860",Virginia
293,,"$72,168","$59,478","2,629,126","$30,742","6,819,579",
294,Larimer,"$76,194","$58,626","121,423","$30,740","305,798",Colorado
295,Grafton,"$71,158","$54,912","35,111","$30,738","89,166",New Hampshire
296,Lancaster,"$66,189","$49,248","5,182","$30,737","11,303",Virginia
297,Medina,"$77,729","$65,951","65,499","$30,707","173,252",Ohio
298,Parker,"$78,626","$64,515","42,322","$30,692","118,478",Texas
299,San Diego,"$73,495","$62,962","1,076,483","$30,668","3,138,265",California
300,Door,"$63,361","$50,438","13,459","$30,657","27,826",Wisconsin
301,Anoka,"$81,798","$70,380","122,625","$30,647","334,027",Minnesota
302,Camden,"$77,369","$61,683","187,941","$30,592","513,512",New Jersey
303,Slope,"$74,167","$61,667",296,"$30,586",738,North Dakota
304,Orange,"$85,100","$70,458","125,317","$30,583","373,902",New York
305,Indian River,"$56,151","$44,772","58,038","$30,532","139,356",Florida
306,Middlesex,"$64,313","$53,309","4,400","$30,531","10,851",Virginia
307,Dare,"$64,404","$55,481","14,624","$30,529","34,289",North Carolina
308,Cass,"$74,024","$52,590","65,816","$30,529","154,080",North Dakota
309,Belknap,"$67,570","$58,654","25,049","$30,518","60,216",New Hampshire
310,Sweetwater,"$81,595","$71,525","16,682","$30,517","44,437",Wyoming
311,Ocean,"$76,822","$61,136","221,774","$30,477","578,902",New Jersey
312,Multnomah,"$65,897","$52,511","305,939","$30,475","747,641",Oregon
313,,"$72,717","$56,361","410,058","$30,469","1,051,695",
314,McLean,"$83,812","$62,089","64,016","$30,460","171,240",Illinois
315,Polk,"$73,043","$59,018","173,164","$30,442","438,307",Iowa
316,Ulster,"$72,632","$58,590","69,862","$30,442","182,086",New York
317,Hodgeman,"$67,000","$52,375",821,"$30,440","1,946",Kansas
318,Nelson,"$64,792","$49,839","1,474","$30,432","3,101",North Dakota
319,Jefferson,"$76,469","$60,863","4,527","$30,397","11,434",Montana
320,Will,"$86,747","$76,147","222,652","$30,377","679,688",Illinois
321,St. Tammany,"$74,834","$60,799","87,518","$30,363","236,832",Louisiana
322,Honolulu,"$85,440","$72,764","309,803","$30,361","964,678",Hawaii
323,Santa Barbara,"$72,602","$62,779","141,720","$30,352","427,288",California
324,Warren,"$66,622","$55,904","28,081","$30,351","65,584",New York
325,Hughes,"$83,474","$59,338","6,992","$30,284","17,238",South Dakota
326,Ness,"$61,940","$48,800","1,340","$30,223","3,095",Kansas
327,,,,,"$30,220",,
328,Sully,"$69,345","$54,524",606,"$30,218","1,420",South Dakota
329,Sarpy,"$80,985","$69,965","59,606","$30,189","162,728",Nebraska
330,Cook,"$66,187","$54,548","1,933,335","$30,183","5,212,372",Illinois
331,Charleston,"$65,394","$50,792","143,717","$30,158","358,736",South Carolina
332,La Plata,"$67,732","$58,080","20,947","$30,151","52,039",Colorado
333,Chambers,"$82,601","$72,489","12,147","$30,140","35,570",Texas
334,Gillespie,"$65,457","$53,668","10,655","$30,117","25,003",Texas
335,Thomas,"$63,333","$55,089",323,"$30,116",734,Nebraska
336,Frederick,"$76,530","$68,424","29,172","$30,112","79,453",Virginia
337,Wheeler,"$63,000","$51,766","2,319","$30,097","5,526",Texas
338,Kane,"$80,085","$69,530","170,358","$30,082","518,380",Illinois
339,Hood,"$64,873","$55,754","20,758","$30,046","51,756",Texas
340,Greene,"$73,972","$58,080","62,836","$30,040","162,588",Ohio
341,Saunders,"$74,235","$59,870","8,142","$30,039","20,800",Nebraska
342,Goliad,"$63,672","$50,923","3,028","$30,031","7,281",Texas
343,Rensselaer,"$74,519","$59,432","64,242","$29,987","159,565",New York
344,Sangamon,"$71,338","$55,449","82,807","$29,974","198,269",Illinois
345,San Luis Obispo,"$74,885","$58,697","102,154","$29,954","272,094",California
346,Sargent,"$67,132","$53,381","1,741","$29,950","3,859",North Dakota
347,Linn,"$75,761","$57,260","86,052","$29,943","213,425",Iowa
348,Goodhue,"$73,075","$56,836","18,711","$29,932","46,259",Minnesota
349,Warrick,"$72,764","$62,351","22,454","$29,927","60,163",Indiana
350,Chesapeake City,"$80,767","$69,743","79,421","$29,905","225,597",Virginia
351,Ontario,"$70,381","$56,479","43,794","$29,904","108,311",New York
352,Natrona,"$69,098","$57,791","31,116","$29,877","77,343",Wyoming
353,King,"$76,250","$65,000",126,"$29,836",321,Texas
354,Hendricks,"$79,943","$68,297","52,946","$29,830","148,623",Indiana
355,,"$71,811","$59,878","335,707","$29,819","908,446",
356,Plumas,"$55,183","$45,794","8,997","$29,806","19,586",California
357,Lander,"$75,857","$72,742","2,010","$29,800","5,844",Nevada
358,Archuleta,"$58,222","$48,933","4,881","$29,793","12,109",Colorado
359,Washington County,"$70,640","$57,281","24,661","$29,761","59,427",Vermont
360,Thurston,"$74,207","$62,229","100,801","$29,744","256,080",Washington
361,,"$70,767","$53,741","287,270","$29,732","689,781",
362,Emmet,"$61,644","$50,929","13,545","$29,718","32,858",Michigan
363,Hamilton,"$65,392","$48,593","327,914","$29,681","802,481",Ohio
364,New Hanover,"$67,938","$49,835","86,010","$29,679","206,403",North Carolina
365,Jo Daviess,"$63,490","$50,817","9,616","$29,675","22,602",Illinois
366,,"$70,344","$56,797","4,772,723","$29,666","12,848,554",
367,Cass,"$75,769","$64,697","9,701","$29,638","25,222",Nebraska
368,Wright,"$81,683","$71,598","44,983","$29,623","126,142",Minnesota
369,Cherokee,"$78,328","$67,261","76,144","$29,615","218,277",Georgia
370,Jefferson,"$77,447","$65,304","19,889","$29,605","54,131",West Virginia
371,Montour,"$62,248","$51,482","7,233","$29,600","18,379",Pennsylvania
372,Johnson,"$79,964","$53,424","54,005","$29,592","134,034",Iowa
373,Cameron,"$71,310","$64,574","2,529","$29,559","6,789",Louisiana
374,Hemphill,"$66,513","$56,379","1,440","$29,544","3,959",Texas
375,Midland,"$65,735","$53,076","33,717","$29,536","83,842",Michigan
376,Matanuska-Susitna,"$81,821","$71,037","31,123","$29,534","91,519",Alaska
377,,"$69,661","$61,094","12,542,460","$29,527","37,659,181",
378,Cecil,"$79,128","$66,689","36,394","$29,518","101,435",Maryland
379,Maui,"$75,407","$63,512","52,623","$29,517","156,633",Hawaii
380,Ramsey,"$71,206","$54,247","205,395","$29,484","515,732",Minnesota
381,Hampshire,"$81,385","$61,227","58,828","$29,460","159,267",Massachusetts
382,Southeast Fairbanks Census Area,"$66,369","$56,801","2,326","$29,437","7,047",Alaska
383,Clay,"$73,380","$60,936","86,934","$29,406","225,116",Missouri
384,Morton,"$69,894","$60,065","11,416","$29,389","27,874",North Dakota
385,Strafford,"$73,260","$58,825","46,968","$29,369","123,836",New Hampshire
